Value,test,year,month
352400,78704,2012,12
354300,78704,2013,1
357400,78704,2013,2
361000,78704,2013,3
365300,78704,2013,4
369400,78704,2013,5
372600,78704,2013,6
375100,78704,2013,7
377300,78704,2013,8
379000,78704,2013,9
380400,78704,2013,10
382800,78704,2013,11
386100,78704,2013,12
388800,78704,2014,1
391400,78704,2014,2
394400,78704,2014,3
397300,78704,2014,4
400900,78704,2014,5
404900,78704,2014,6
408800,78704,2014,7
413400,78704,2014,8
418300,78704,2014,9
422600,78704,2014,10
426600,78704,2014,11
430200,78704,2014,12
432900,78704,2015,1
434600,78704,2015,2
437300,78704,2015,3
442200,78704,2015,4
448100,78704,2015,5
453300,78704,2015,6
458000,78704,2015,7
461600,78704,2015,8
463300,78704,2015,9
463700,78704,2015,10
464500,78704,2015,11
466800,78704,2015,12
469500,78704,2016,1
470800,78704,2016,2
470800,78704,2016,3
470600,78704,2016,4
470200,78704,2016,5
469700,78704,2016,6
469900,78704,2016,7
470500,78704,2016,8
470800,78704,2016,9
471500,78704,2016,10
472100,78704,2016,11
472100,78704,2016,12
473000,78704,2017,1
474900,78704,2017,2
476100,78704,2017,3
477100,78704,2017,4
480400,78704,2017,5
484300,78704,2017,6
488000,78704,2017,7
489700,78704,2017,8
488400,78704,2017,9
485900,78704,2017,10
485600,78704,2017,11
486100,78704,2017,12
485600,78704,2018,1
488500,78704,2018,2
495700,78704,2018,3
500900,78704,2018,4
94100,78705,1996,4
94500,78705,1996,5
95000,78705,1996,6
95500,78705,1996,7
95900,78705,1996,8
96400,78705,1996,9
96800,78705,1996,10
97100,78705,1996,11
97400,78705,1996,12
97800,78705,1997,1
98300,78705,1997,2
98800,78705,1997,3
99400,78705,1997,4
100200,78705,1997,5
101200,78705,1997,6
102400,78705,1997,7
103700,78705,1997,8
105100,78705,1997,9
106800,78705,1997,10
108500,78705,1997,11
110400,78705,1997,12
112500,78705,1998,1
114500,78705,1998,2
116400,78705,1998,3
118400,78705,1998,4
120300,78705,1998,5
122200,78705,1998,6
123800,78705,1998,7
125300,78705,1998,8
126600,78705,1998,9
127700,78705,1998,10
128500,78705,1998,11
129300,78705,1998,12
130100,78705,1999,1
130800,78705,1999,2
131400,78705,1999,3
132200,78705,1999,4
133000,78705,1999,5
134000,78705,1999,6
135100,78705,1999,7
136200,78705,1999,8
137200,78705,1999,9
138300,78705,1999,10
139200,78705,1999,11
140000,78705,1999,12
140800,78705,2000,1
141600,78705,2000,2
142500,78705,2000,3
143300,78705,2000,4
144300,78705,2000,5
145300,78705,2000,6
146300,78705,2000,7
147300,78705,2000,8
148200,78705,2000,9
148900,78705,2000,10
149400,78705,2000,11
149700,78705,2000,12
150000,78705,2001,1
150100,78705,2001,2
150200,78705,2001,3
150300,78705,2001,4
150400,78705,2001,5
150600,78705,2001,6
150800,78705,2001,7
150900,78705,2001,8
151000,78705,2001,9
151100,78705,2001,10
151000,78705,2001,11
150800,78705,2001,12
150600,78705,2002,1
150600,78705,2002,2
150800,78705,2002,3
151300,78705,2002,4
152100,78705,2002,5
153300,78705,2002,6
154600,78705,2002,7
156100,78705,2002,8
157500,78705,2002,9
158800,78705,2002,10
160800,78705,2002,11
162600,78705,2002,12
163000,78705,2003,1
162400,78705,2003,2
161800,78705,2003,3
160900,78705,2003,4
159500,78705,2003,5
158000,78705,2003,6
156500,78705,2003,7
155200,78705,2003,8
154100,78705,2003,9
153300,78705,2003,10
152800,78705,2003,11
152600,78705,2003,12
152900,78705,2004,1
153400,78705,2004,2
153600,78705,2004,3
153500,78705,2004,4
153200,78705,2004,5
152700,78705,2004,6
152100,78705,2004,7
151500,78705,2004,8
151200,78705,2004,9
151100,78705,2004,10
151400,78705,2004,11
152300,78705,2004,12
154000,78705,2005,1
156400,78705,2005,2
158800,78705,2005,3
160800,78705,2005,4
162000,78705,2005,5
162500,78705,2005,6
162400,78705,2005,7
161900,78705,2005,8
161400,78705,2005,9
160700,78705,2005,10
159900,78705,2005,11
159000,78705,2005,12
158400,78705,2006,1
157900,78705,2006,2
157800,78705,2006,3
158300,78705,2006,4
159300,78705,2006,5
160800,78705,2006,6
162800,78705,2006,7
164900,78705,2006,8
166900,78705,2006,9
168700,78705,2006,10
170000,78705,2006,11
171000,78705,2006,12
171800,78705,2007,1
172500,78705,2007,2
173300,78705,2007,3
174200,78705,2007,4
175300,78705,2007,5
176500,78705,2007,6
177800,78705,2007,7
179400,78705,2007,8
180900,78705,2007,9
182400,78705,2007,10
183400,78705,2007,11
183900,78705,2007,12
184100,78705,2008,1
183900,78705,2008,2
183400,78705,2008,3
183200,78705,2008,4
183100,78705,2008,5
183100,78705,2008,6
183000,78705,2008,7
182700,78705,2008,8
182500,78705,2008,9
182300,78705,2008,10
182100,78705,2008,11
181700,78705,2008,12
181300,78705,2009,1
180800,78705,2009,2
180200,78705,2009,3
179600,78705,2009,4
179200,78705,2009,5
178200,78705,2009,6
176300,78705,2009,7
174100,78705,2009,8
172600,78705,2009,9
171700,78705,2009,10
171200,78705,2009,11
171000,78705,2009,12
171000,78705,2010,1
171200,78705,2010,2
171200,78705,2010,3
170600,78705,2010,4
169300,78705,2010,5
167900,78705,2010,6
166700,78705,2010,7
165600,78705,2010,8
164900,78705,2010,9
164900,78705,2010,10
165100,78705,2010,11
164900,78705,2010,12
164100,78705,2011,1
163300,78705,2011,2
162600,78705,2011,3
161700,78705,2011,4
160900,78705,2011,5
161100,78705,2011,6
161400,78705,2011,7
161600,78705,2011,8
162200,78705,2011,9
162800,78705,2011,10
163300,78705,2011,11
163600,78705,2011,12
164100,78705,2012,1
164400,78705,2012,2
164500,78705,2012,3
164900,78705,2012,4
165800,78705,2012,5
167600,78705,2012,6
171800,78705,2012,7
176500,78705,2012,8
177700,78705,2012,9
176300,78705,2012,10
175600,78705,2012,11
175200,78705,2012,12
174900,78705,2013,1
175700,78705,2013,2
176500,78705,2013,3
176600,78705,2013,4
177700,78705,2013,5
179400,78705,2013,6
180000,78705,2013,7
179400,78705,2013,8
