Year,Month,Number of Households,Median Income (dollars),Zip Code
2016,2,18844,77042.16666666667,75007
2016,3,18887,77186.75,75007
2016,4,18930,77331.33333333333,75007
2016,5,18973,77475.91666666667,75007
2016,6,19016,77620.5,75007
2016,7,19058,77765.08333333333,75007
2016,8,19101,77909.66666666667,75007
2016,9,19144,78054.25,75007
2016,10,19187,78198.83333333333,75007
2016,11,19230,78343.41666666667,75007
2016,12,19273,78488.0,75007
2011,1,2744,76840.0,75009
2011,2,2744,76840.0,75009
2011,3,2744,76840.0,75009
2011,4,2744,76840.0,75009
2011,5,2744,76840.0,75009
2011,6,2744,76840.0,75009
2011,7,2744,76840.0,75009
2011,8,2744,76840.0,75009
2011,9,2744,76840.0,75009
2011,10,2744,76840.0,75009
2011,11,2744,76840.0,75009
2011,12,2744,76840.0,75009
2012,1,2744,77826.83333333333,75009
2012,2,2745,78813.66666666667,75009
2012,3,2746,79800.5,75009
2012,4,2746,80787.33333333333,75009
2012,5,2747,81774.16666666667,75009
2012,6,2748,82761.0,75009
2012,7,2748,83747.83333333333,75009
2012,8,2749,84734.66666666667,75009
2012,9,2750,85721.5,75009
2012,10,2750,86708.33333333333,75009
2012,11,2751,87695.16666666667,75009
2012,12,2752,88682.0,75009
2013,1,2766,88590.25,75009
2013,2,2780,88498.5,75009
2013,3,2795,88406.75,75009
2013,4,2809,88315.0,75009
2013,5,2823,88223.25,75009
2013,6,2838,88131.5,75009
2013,7,2852,88039.75,75009
2013,8,2866,87948.0,75009
2013,9,2881,87856.25,75009
2013,10,2895,87764.5,75009
2013,11,2909,87672.75,75009
2013,12,2924,87581.0,75009
2014,1,2928,87337.66666666667,75009
2014,2,2933,87094.33333333333,75009
2014,3,2938,86851.0,75009
2014,4,2943,86607.66666666667,75009
2014,5,2947,86364.33333333333,75009
2014,6,2952,86121.0,75009
2014,7,2957,85877.66666666667,75009
2014,8,2962,85634.33333333333,75009
2014,9,2966,85391.0,75009
2014,10,2971,85147.66666666667,75009
2014,11,2976,84904.33333333333,75009
2014,12,2981,84661.0,75009
2015,1,2983,84963.25,75009
2015,2,2985,85265.5,75009
2015,3,2988,85567.75,75009
2015,4,2990,85870.0,75009
2015,5,2992,86172.25,75009
2015,6,2995,86474.5,75009
2015,7,2997,86776.75,75009
2015,8,2999,87079.0,75009
2015,9,3002,87381.25,75009
2015,10,3004,87683.5,75009
2015,11,3006,87985.75,75009
2015,12,3009,88288.0,75009
2016,1,3046,88652.41666666667,75009
2016,2,3084,89016.83333333333,75009
2016,3,3122,89381.25,75009
2016,4,3160,89745.66666666667,75009
2016,5,3197,90110.08333333333,75009
2016,6,3235,90474.5,75009
2016,7,3273,90838.91666666667,75009
2016,8,3311,91203.33333333333,75009
2016,9,3348,91567.75,75009
2016,10,3386,91932.16666666667,75009
2016,11,3424,92296.58333333333,75009
2016,12,3462,92661.0,75009
