,OriginalZip,CalendarYearIssued,Issuedmonth,NewConstructionsCount,RemodelRepairsCount,NewConstructionDollarValue,RemodelRepairDollarValue
374,78660,1997,5,1,0,70000,0
375,78660,1997,6,39,0,2355770,0
376,78660,1997,7,6,0,426202,0
377,78660,1997,8,4,0,252700,0
378,78660,1997,9,38,0,2553997,0
379,78660,1997,10,5,0,322635,0
380,78660,1997,11,2,0,135615,0
381,78660,1998,1,3,0,255000,0
382,78660,1998,2,0,1,0,500
383,78660,1998,4,39,0,2366520,0
384,78660,1998,6,1,0,100000,0
385,78660,1998,7,18,0,1288500,0
386,78660,1998,8,28,0,1964429,0
387,78660,1998,9,6,0,420000,0
388,78660,1998,10,14,0,980000,0
389,78660,1998,11,10,0,700000,0
390,78660,1998,12,10,0,700000,0
391,78660,1999,1,8,0,560000,0
392,78660,1999,2,2,0,140000,0
393,78660,1999,3,7,0,490000,0
394,78660,1999,4,5,0,350000,0
395,78660,1999,5,7,1,520000,1000
396,78660,1999,6,4,0,310000,0
397,78660,1999,7,4,0,288710,0
398,78660,1999,8,3,1,168806,700
399,78660,1999,9,0,1,0,0
400,78660,1999,10,11,0,580608,0
401,78660,1999,11,26,0,1274013,0
402,78660,1999,12,17,0,805744,0
403,78660,2000,11,1,0,90000,0
404,78660,2001,6,0,1,0,0
405,78660,2001,11,27,2,1501865,0
406,78660,2001,12,17,0,984780,0
407,78660,2002,1,31,3,1769045,55020
408,78660,2002,2,2,0,117845,0
409,78660,2002,3,1,0,69195,0
410,78660,2002,4,3,0,155015,0
411,78660,2002,5,0,4,0,0
412,78660,2002,6,4,0,217210,0
413,78660,2002,7,1,0,68985,0
414,78660,2002,9,0,1,0,2011
415,78660,2002,10,1,0,50875,0
416,78660,2003,2,1,1,66045,9850
417,78660,2003,7,20,0,1038836,0
418,78660,2003,8,11,0,555871,0
419,78660,2003,9,4,1,204603,0
420,78660,2003,10,5,0,229503,0
421,78660,2003,12,3,0,159898,0
422,78660,2004,1,2,0,105183,0
423,78660,2004,2,3,0,161361,0
424,78660,2004,3,3,0,150041,0
425,78660,2004,4,1,0,51894,0
426,78660,2004,6,3,0,106099,0
427,78660,2004,7,1,0,42330,0
428,78660,2004,9,1,0,61886,0
429,78660,2005,1,1,0,50000,0
430,78660,2005,6,0,1,0,0
431,78660,2005,8,0,12,0,0
432,78660,2005,9,0,6,0,0
433,78660,2005,10,0,3,0,0
434,78660,2005,11,0,2,0,0
435,78660,2005,12,0,3,0,0
436,78660,2006,1,0,3,0,0
437,78660,2006,2,0,30,0,0
438,78660,2006,3,0,23,0,0
439,78660,2006,5,0,11,0,0
440,78660,2006,6,0,9,0,0
441,78660,2006,9,0,3,0,0
442,78660,2006,10,0,3,0,0
443,78660,2007,10,1,0,83910,0
444,78660,2007,11,1,0,75519,0
445,78660,2007,12,3,0,208415,0
446,78660,2008,1,1,0,83100,0
447,78660,2008,2,1,0,62450,0
448,78660,2008,3,3,1,197765,74000
449,78660,2008,4,5,0,505048,0
450,78660,2008,5,3,0,303880,0
451,78660,2008,6,2,0,172610,0
452,78660,2008,7,17,0,1542300,0
453,78660,2008,8,5,0,503431,0
454,78660,2008,9,13,0,1330620,0
455,78660,2008,10,7,0,736430,0
